"","Gene.names","LOG2.H0_1","LOG2.H0_2","LOG2.H0_3","LOG2.Hc_1","LOG2.Hc_2","LOG2.Hc_3","logFC","p.val"
"127","HSP90AA1",4.3273177613192,4.12999702052075,4.03116465149838,4.91132961988113,5.36363535648429,5.61815694868064,1.13488083056924,0.00325623025187224
"128","PIK3C2B",-4.69092481808888,-4.26554906692979,-5.15057294188056,-0.582528649251486,-2.10647223257909,-2.91683675628371,2.83373639626165,0.00326731931636778
"129","ROMO1",-5.29980307819113,-1.38348270646771,-4.40847257897288,0.615830788956497,0.601045067304355,1.04915771513942,4.45259731167733,0.00354397995632795
"130","TMEM65",-3.24967826057771,-3.41814362166079,-5.94389121364994,-1.03757475125724,0.525479610891601,-0.857781758378636,3.74727873238139,0.003587417797584
"131","MTCH1",-4.51443004808037,-3.3413012281586,-4.44431652459554,-2.75583022604296,-2.23161409491536,-2.08890585314553,1.74123254224355,0.00365337211967294
"132","RAB9A",-0.681911247816572,-0.899991881682183,-0.832633293157446,-0.0459273580215935,0.360290211239644,0.776393359171855,1.1684308783487,0.0036555986519096
"133","RIOK1",4.29863517409469,4.28697791876999,4.31816740187255,3.50062932949017,3.59560485402281,3.5517454567434,-0.751933618160283,0.00371995056036373
"134","SLC25A1",0.268910518419723,0.982531196308287,0.136236809398383,1.46878184947445,2.07366111377241,2.05413458322242,1.40296634078096,0.00382261917169692
"135","MGST3",1.06005521329607,0.695266073075512,0.0276667426162618,-0.550242720857966,-1.04870453499662,-0.889178479671585,-1.42370458817134,0.00382541683687455
"136","RPS12",2.52110294969408,3.32866408661176,2.68108610568737,1.18868629643353,1.81979941408861,1.54114983291375,-1.32707253285243,0.00394008144158896
"137","TCEB3",1.3526574973098,1.86274322076001,2.09267287381076,0.529881795346302,0.173017075175085,0.812178565574808,-1.26433205192812,0.00396273031099505
"138","RPS9",2.3024077721156,2.97466998282265,2.52548619794344,1.09245285832937,1.74204317352873,1.3108816201579,-1.21906210028856,0.00415000024830949
"139","NUSAP1",-3.33936243376444,-2.79777393820461,-2.81597985955294,-3.85288657848154,-4.62093468382307,-4.19898878424859,-1.23989793834374,0.0042590002476834
"140","RAB7A",0.977982709318631,0.427417352546691,0.090378000039415,1.92719270781982,1.88007827638286,1.47300523610128,1.26149938613308,0.00446893515527427
"141","TMEM33",-1.58942313381806,-2.19454803939779,-1.83942167004426,-0.865359962337298,-0.860619596053578,-1.01476930794792,0.960881325640439,0.00447908520196322
"142","RPS11",2.32000131784282,2.51159400972094,2.272225026283,1.6285173822135,1.64921758587252,1.54417717588865,-0.760636069957364,0.00473361890897472
"143","CCAR1",0.518226974919362,1.51748805790913,1.460043228436,-0.301232287751827,-0.328673704606075,-1.43876125732992,-1.85480850365077,0.00474602060241776
"144","SRRT",-1.78134140054739,-1.95858305792245,-1.91085723450657,-1.29017409435122,-0.844792045340686,-0.806869520256058,0.902982011009486,0.00486057035441904
"145","RPS6",2.30983908189964,2.599461552935,2.27152835782367,1.11909734833111,1.66702029071082,0.725772347470503,-1.22297966871529,0.00495093031103416
"146","MCM7",-1.38297561540422,-0.849302688560712,-1.1655245278096,-0.356092697046023,0.318355281498761,0.632189909589165,1.33075177527214,0.0049839081749063
"147","KCTD17",1.75537421889838,1.65268989049278,1.63204608144651,0.660272286373289,0.921362619550624,1.03477505073702,-0.807900078058914,0.00498482689548992
